288 -> 1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;0;1
943 -> 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
193 -> 0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;1
1555 -> 0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1
119 -> 1;0;1;1;0;1;0;0;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;0;1
586 -> 1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1
1375 -> 1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1
180 -> 1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;1;0;1
410 -> 0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;1;1;1;0;1;0;0;0;1;1
246 -> 0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;1
2705 -> 0;1;1;0;0;1;0;0;1;0;1;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;1;0;0;1
2227 -> 0;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;0;1;0;1;1;0;1
690 -> 1;0;1;0;0;0;0;0;1;0;1;0;0;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;0;1
1168 -> 0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1
61 -> 0;0;1;0;0;0;0;0;1;0;1;1;1;1;1;1;0;1;0;0;1;0;1;0;0;0;1;0;0;1
3019 -> 0;1;1;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0
1180 -> 0;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;0;1;0;1;1;1;1
430 -> 1;0;1;1;0;1;0;0;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;1;0;1;0;0;1
2169 -> 0;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;1;0;0;1
536 -> 1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1
1741 -> 0;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;1;0;1;1;0;1
1767 -> 0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;1;0;1;0;0;1;1;0;0;1;0;1;0;0;1
1653 -> 1;1;1;1;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;1;1;0;1;0;1;0;1;1
1130 -> 0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1
2237 -> 0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;1;0;1
415 -> 1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;0;0;0;1;1;0;1
1688 -> 0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;1;0;1
1266 -> 0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1
2394 -> 0;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;0;1;1;0;1
189 -> 0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;1
1292 -> 1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
4918 -> 0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1
2597 -> 0;1;1;0;1;0;1;1;0;0;1;0;0;1;0;1;0;0;1;0;1;1;1;0;1;0;0;0;0;0
3326 -> 0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0
480 -> 0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1
1871 -> 0;0;1;0;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;0;1;1;1;0;1;0;1;0;0;1
107 -> 0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;1
87 -> 0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;1;1;0;1;0;0;0;0;1
1022 -> 1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1458 -> 1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1
508 -> 1;0;0;1;0;1;0;0;1;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1
221 -> 1;0;1;1;0;1;0;0;1;0;1;0;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;1
